Element;Is in Variant

WebAnnotationFeatures

Views;false
SpreadsheetView;false
MoodleView;false
WebTools;false
DOI;false
Dropbox;false
ACM;false
Configuration;true
Spreadsheet;false
Moodle;true
DefaultCriterias;false
Sidebar;true
Tag;true
Index;true
New;false
UserFilter;false
Toolset;true
Canvas;false
Generator;true
Screenshots;true
Report;false
BackLink;true
BackToMoodle;true
BackToSpreadsheet;false
AnnotationTools;false
AllDeleter;false
Last;false
TagGroup;true
Selector;true
HypothesisGroupSelector;true
AutomaticSelection;true
GroupSelector;false
StaticGroupSelector;false
ModeSelector;true
HighlightMode;false
IndexMode;false
ReviewMode;false
MarkingMode;true
EvidencingMode;true
Hypothesis;true
PDF;true
Roles;true
Reviewer;true
Teacher;true
Student;true
Annotations;true
Deleter;true
Classificator;true
Marks;true
Validations;false
Strengths;false
Comments;true
Replys;true
Citations;false
