Element;Is in Variant

WebAnnotationFeatures

Views;false
SpreadsheetView;false
MoodleView;false
WebTools;false
DOI;false
Dropbox;false
ACM;false
Configuration;true
Spreadsheet;false
Moodle;false
DefaultCriterias;true
Sidebar;true
Tag;false
Index;false
New;false
UserFilter;false
Selector;false
ModeSelector;false
HighlightMode;false
IndexMode;false
ReviewMode;false
MarkingMode;false
EvidencingMode;false
HypothesisGroupSelector;false
AutomaticSelection;false
GroupSelector;false
Toolset;true
Canvas;true
Generator;true
Screenshots;false
Report;true
BackLink;false
BackToMoodle;false
BackToSpreadsheet;false
AnnotationTools;true
AllDeleter;true
Last;true
TagGroup;true
Hypothesis;true
PDF;true
Roles;true
Reviewer;true
Teacher;false
Student;false
Annotations;true
Deleter;true
Classificator;true
Marks;false
Validations;false
Strengths;true
Comments;false
Replys;false
Citations;false
