Element;Is in Variant

WebAnnotationFeatures

Views;false
SpreadsheetView;false
MoodleView;false
WebTools;false
DOI;false
Dropbox;false
ACM;false
Configuration;true
Spreadsheet;false
Moodle;false
DefaultCriterias;true
Sidebar;true
Tag;true
Index;true
New;false
UserFilter;true
Toolset;false
Canvas;false
Generator;false
Screenshots;false
Report;false
BackLink;false
BackToMoodle;false
BackToSpreadsheet;false
AnnotationTools;false
AllDeleter;false
Last;false
TagGroup;true
Selector;true
HypothesisGroupSelector;true
AutomaticSelection;false
GroupSelector;false
StaticGroupSelector;true
ModeSelector;true
HighlightMode;false
IndexMode;true
ReviewMode;true
MarkingMode;false
EvidencingMode;false
Hypothesis;true
PDF;true
Roles;true
Reviewer;true
Teacher;false
Student;false
Annotations;true
Deleter;true
Classificator;true
Marks;false
Validations;false
Strengths;true
Comments;true
Replys;false
Citations;false
