Element;Is in Variant

WebAnnotationFeatures

Views;false
SpreadsheetView;false
MoodleView;false
WebTools;false
DOI;false
Dropbox;false
ACM;false
Configuration;true
Spreadsheet;false
Moodle;true
DefaultCriterias;false
Sidebar;true
Tag;false
Index;false
New;false
UserFilter;false
Selector;false
ModeSelector;false
HighlightMode;false
IndexMode;false
ReviewMode;false
MarkingMode;false
EvidencingMode;false
HypothesisGroupSelector;false
AutomaticSelection;false
GroupSelector;false
Toolset;false
Canvas;false
Generator;false
Screenshots;false
Report;false
BackLink;false
BackToMoodle;false
BackToSpreadsheet;false
AnnotationTools;false
AllDeleter;false
Last;false
TagGroup;true
Hypothesis;true
PDF;true
Roles;true
Reviewer;true
Teacher;true
Student;true
Annotations;true
Deleter;true
Classificator;true
Marks;true
Validations;false
Strengths;false
Comments;false
Replys;false
Citations;false
